소재지전체주소,도로명전체주소,사업장명,위도,경도,업태구분명,kakao_star,kakao_star_nums,kakao_blog_review
황학동,"서울특별시 강동구 양재대로98길 22 (둔촌동,102호)",사라식당,37.5305339,127.1387987,일식,0,0,0
종로6가,"서울특별시 강북구 솔매로 119 (미아동,(솔매길 8)(지하1층))",59쌀피자,37.6262514,127.0252736,일식,5,1,0
남현동,"서울특별시 관악구 봉천로 491-1 (봉천동,지상1층)",자니로켓 사당역점,37.4817598,126.9546564,일식,3.2,11,23
압구정동,"서울특별시 강서구 하늘길 112, 김포국제공항 국내선 1층 (공항동)",일치프리아니 현대압구정점,37.5567761,126.8085127,일식,2.6,7,9
여의도동,"서울특별시 강북구 도봉로8길 42, 1층 (미아동)",르네상스 마리나클럽,37.6118923,127.0321248,일식,0,0,0
청담동,"서울특별시 강서구 마곡중앙6로 66, 퀸즈파크텐 1층 113호 (마곡동)",플레이,37.5599153,126.8343608,일식,0,0,13
필동2가,서울특별시 관악구 남부순환로 1599-3 (신림동),집시포차,37.4844727,126.9282904,일식,5,2,3
오류동,"서울특별시 관악구 조원로 160, 1층 (신림동)",이강스시,37.4858354,126.9199294,일식,4.4,8,3
제기동,"서울특별시 강서구 월정로28길 34 (화곡동,(지하 1층))",바비,37.5334503,126.8384869,일식,0,0,3
공항동,서울특별시 관악구 관악로14길 105 (봉천동),웰리앤카페테리아,37.4778837,126.9582535,일식,0,0,1
상계동,"서울특별시 관악구 참숯1길 19, 1동 지하층 104호 (봉천동, e편한세상서울대입구 2차)",대동원회시장,37.4773042,126.9423824,일식,2.3,4,2
수서동,"서울특별시 강서구 양천로 731, 309동 1층 105-2호 (염창동, 동아3차아파트)",보보스,37.549794,126.8776792,일식,0,0,0
암사동,"서울특별시 강서구 국회대로7길 74, 지하 1층 (화곡동)",자담치킨 서울암사점,37.5298607,126.856783,일식,5,3,0
역삼동,"서울특별시 관악구 신림로73길 1, 2층 (신림동)",레알몬스터,37.488883,126.9279381,일식,4.7,3,2
성내동,"서울특별시 강서구 마곡중앙로 59-11, 엠비즈타워 1층 105호 (마곡동)",온더라이스,37.5588407,126.8252956,일식,5,1,8
공덕동,"서울특별시 관악구 장군봉1길 56, 우형빌딩 제1층 제113호 (봉천동)",제니뮤직,37.4814127,126.9431183,일식,0,0,0
통의동,서울특별시 강서구 곰달래로49길 18 (화곡동),디미,37.532577,126.8579336,일식,2.9,35,10
미아동,"서울특별시 강서구 공항대로 649, 제성빌딩 1층 (염창동)",바다풍경,37.5473516,126.8769814,일식,3.3,3,2
신사동,서울특별시 강동구 천호대로170길 61 (성내동),쿠시토쿡,37.5327412,127.1323661,일식,3,8,46
용산동2가,서울특별시 강서구 화곡로53길 7-9 (화곡동),해방촌오거리,37.5507878,126.8482438,일식,4,2,8
서초동,서울특별시 강북구 솔매로 97 (미아동),행복한 스시,37.6255559,127.0229886,일식,2.8,12,7
청파동2가,서울특별시 관악구 봉천로 275 (봉천동),슬로우슬로우,37.4879709,126.9319772,일식,4.3,3,13
영등포동,"서울특별시 관악구 봉천로 225, 1층 (봉천동)",카츠야미영등포점,37.4899839,126.9268102,일식,5,1,0
논현동,"서울특별시 관악구 남부순환로185길 9, 지하1층 (신림동)",파니나로,37.4851572,126.9323462,일식,0,0,0
목동,"서울특별시 강서구 공항대로 621, 1층 (염창동)",플러스팔이버거,37.5472319,126.8738592,일식,4.1,12,26
반포동,"서울특별시 광진구 광나루로 385, 1층 1호 (군자동)",계절의 맛 신세계 강남점,37.548073,127.0726797,일식,2.4,5,9
신정동,서울특별시 강북구 오패산로 111-1 (미아동),참치가 좋은날,37.6118746,127.0348119,일식,0,0,1
서소문동,"서울특별시 강서구 강서로48길 17, 1층 102호 (내발산동)",영덕회식당,37.5526974,126.8375478,일식,4,2,2
미아동,"서울특별시 관악구 봉천로 456, 1층 (봉천동)",용참치,37.4820777,126.9505776,일식,5,1,16
신도림동,"서울특별시 관악구 인헌6길 16, 1층 (봉천동)",본가스시 디큐브시티점,37.4741092,126.9660221,일식,1.4,8,7
외발산동,"서울특별시 관악구 신림로59길 15-12, 1층 (신림동)",크레파스,37.4826064,126.9292788,일식,4,13,2
중계동,"서울특별시 강서구 남부순환로11길 25, 2층 (공항동)",대박수산,37.5546697,126.8148941,일식,4.7,3,1
관철동,"서울특별시 강북구 도봉로8길 37-1, 1층 (미아동)",종로 고기집,37.6122655,127.0323447,일식,3.4,62,133
용강동,"서울특별시 관악구 조원로2가길 1, 1층 (신림동)",참치천국,37.4832565,126.9029734,일식,0,0,10
상암동,"서울특별시 관악구 쑥고개로 73-1, 1층 (봉천동)",달콤한어부,37.4796243,126.944774,일식,4,2,33
서소문동,"서울특별시 강북구 4.19로 65, 1층 (수유동)",리치,37.6459632,127.0075422,일식,0,0,0
