,지번주소,도로명주소,위도,경도,사업장명,kakao_star,kakao_star_nums,kakao_blog_review
2405,필운동,서울특별시 종로구 사직로 103-15  (필운동),37.5763542,126.9702256,21세기 노래연습장,0,0,0
30,일원동,서울특별시 강남구 일원로9길 6 지하1층 (일원동)',37.4893359,127.0820256,엠비씨,0,0,0
382,길동,서울특별시 강동구 양재대로128길 36 (길동),37.5444992,127.1447358,자유인,0,0,0
5997,신길동,서울특별시 영등포구 여의대방로 93 3층 (신길동)',37.4975182,126.9168989,오라지노래연습장,5,1,0
9178,동교동,서울특별시 마포구 양화로21길 지하 15 (동교동),37.5483791,126.9115436,울림노래연습장,5,1,0
9810,보문동7가,서울특별시 성북구 보문로 45 (보문동7가),37.5795543,127.0222563,오아시스 노래연습장,0,0,0
1119,방화동,서울특별시 강서구 금낭화로 136 에어뷰21-2오피스텔 2층 (방화동)',37.5774317,126.813028,에코인노래연습장,0,0,0
5434,구로동,서울특별시 구로구 도림로 81 (구로동),37.4902626,126.8921637,오디션 노래연습장,1,2,0
9955,오금동,서울특별시 송파구 마천로 192 지층 (오금동)',37.5024419,127.139965,엔젤노래연습장,0,0,0
7923,상계동,서울특별시 노원구 상계로5길 26 2층 (상계동),37.6571265,127.0632727,락휴,3.3,3,0
4759,용강동,서울특별시 마포구 토정로32길 3 2층 (용강동)',37.5407992,126.9416427,뉴월드 노래연습장,0,0,0
9838,돈암동,서울특별시 성북구 동소문로34길 24 (돈암동 삼성아파트),37.5994947,127.0231255,하와이 노래방,0,0,0
402,암사동,서울특별시 강동구 상암로 83 (암사동),37.5481774,127.1323687,영,0,0,0
2032,구로동,서울특별시 구로구 구로동로 167 지층 (구로동 조일뉴타워)',37.4935759,126.8830308,중화노래연습장,0,0,0
6628,서초동,서울특별시 서초구 남부순환로347길 13 지층 (서초동 남창빌딩)',37.4849772,127.0317031,히트노래연습장,0,0,0
2681,마장동,서울특별시 성동구 고산자로 346 (마장동2층)',37.5703335,127.0380407,화이트 노래연습장,0,0,0
11041,서계동,서울특별시 용산구 만리재로 134 지층 (서계동)',37.5513395,126.9625769,HOLLYWOOD,0,0,1
4648,홍제동,서울특별시 서대문구 통일로 473 (홍제동),37.5902824,126.9421076,현대노래연습장,0,0,0
6223,녹번동,서울특별시 은평구 진흥로 112 (녹번동),37.6065108,126.9233253,당신의노래연습장,5,1,0
11239,불광동,서울특별시 은평구 통일로66길 8 (불광동),37.6104874,126.9311087,산울림노래연습장,0,0,0
1665,중곡동,서울특별시 광진구 긴고랑로 60 (중곡동3층)',37.5619031,127.0826965,S 노래연습장,1,1,0
11125,갈현동,서울특별시 은평구 갈현로 186 (갈현동),37.6142574,126.9122916,스타노래연습장,0,0,0
1854,구로동,서울특별시 구로구 디지털로32나길 23 (구로동(지층))',37.484276,126.9004928,에스비에스노래방,0,0,0
2365,관철동,서울특별시 종로구 종로10길 13 (관철동),37.5694554,126.9845961,락,0,0,0
4691,홍제동,서울특별시 서대문구 통일로37길 19 지하1층 (홍제동)',37.5874216,126.9442883,원 코인노래연습장,0,0,0
1823,구로동,서울특별시 구로구 도림로 83 (구로동2층)',37.4903735,126.8924364,뮤직스타코인노래연습장,0,0,1
11270,역촌동,서울특별시 은평구 서오릉로 71 영화마스타골프랜드 (역촌동),37.6070151,126.9219692,너짱코인노래연습장,3,5,0
6150,대림동,서울특별시 영등포구 디지털로37길 30 지하1층 (대림동)',37.4913146,126.8980813,SBS 노래연습장,0,0,0
1342,봉천동,서울특별시 관악구 봉천로 593 지하1층 (봉천동 좌측)',37.4765926,126.963446,청개구리,0,0,0
2985,화양동,서울특별시 광진구 능동로 179-1 (화양동지층)',37.5467761,127.073515,샹떼 코인,5,2,0
6818,서초동,서울특별시 서초구 서운로 16  (서초동),37.4855344,127.0298527,신나는노래연습장,0,0,0
5484,구로동,서울특별시 구로구 새말로16길 27 (구로동(지층))',37.5044555,126.8910551,짱노래연습장,0,0,0
8402,상계동,서울특별시 노원구 노해로 495 삼성빌딩 지층 (상계동)',37.6551207,127.0631037,시그니처코인노래연습장,5,1,1
6203,노량진동,서울특별시 동작구 만양로 110 (노량진동),37.5131919,126.9444467,노래야노래야 코인노래연습장,4.5,2,0
4852,공덕동,서울특별시 마포구 마포대로 173 지하1층 (공덕동 현대하이엘)',37.5499081,126.9544556,홍 노래연습장,5,8,0
4992,목동,서울특별시 양천구 목동중앙북로 83-1 (목동지하1층)',37.5465226,126.8725879,파티파티노래연습장,0,0,0
4487,잠원동,서울특별시 서초구 신반포로47길 105 (잠원동지하1층),37.5149496,127.0187442,SBS노래연습장,0,0,0
5230,방화동,서울특별시 강서구 양천로 88 2층 (방화동)',37.5732888,126.813557,오즈노래연습장,0,0,0
2468,봉천동,서울특별시 관악구 쑥고개로 62-1 대아빌딩 (봉천동),37.4794468,126.9433475,둘리,0,0,0
11542,면목동,서울특별시 중랑구 면목로44길 10 (면목동),37.5812391,127.0890619,MBC 노래연습장,0,0,0
1927,구로동,서울특별시 구로구 새말로 36 (구로동),37.5026778,126.8849398,영 노래연습장,0,0,0
1843,고척동,서울특별시 구로구 경인로47길 36 (고척동(지층))',37.5010241,126.8661056,SBS노래연습장,0,0,0
8618,방학동,서울특별시 도봉구 방학로6길 37 (방학동),37.6643958,127.0364066,747 노래연습장,0,0,0
8447,쌍문동,서울특별시 도봉구 노해로60길 83 (쌍문동지1층)',37.6477945,127.0332561,까치노래연습장,0,0,0
2033,구로동,서울특별시 구로구 구로동로28길 90 2층 (구로동),37.4915116,126.8889233,스타노래연습장,0,0,1
8857,사당동,서울특별시 동작구 동작대로13길 7 (사당동),37.4816219,126.9809702,태양노래방,0,0,0
931,화곡동,서울특별시 강서구 화곡로58길 36 3층 (화곡동)',37.5526321,126.8528595,세분노래연습장,0,0,0
8278,상계동,서울특별시 노원구 동일로 1676 지층 (상계동 한사랑메디컬빌딩),37.6779675,127.055693,천국,2.6,5,1
