지번주소,도로명주소,사업장명,위도,경도,kakao_star,kakao_star_nums,kakao_blog_review
가락동,서울특별시 송파구 송파대로28길 27 102동 101호 (가락동 성원상떼빌),가락시장역점 빽다방,37.4950169,127.1203666,3.5,4,3
화곡동,서울특별시 강서구 강서로 27 5층 503호 (화곡동 1동 화곡심포니타워),쉴만한 물가,37.5303734,126.8471931,2,1,0
상도동,서울특별시 동작구 상도로30길 82 1층 102호 (상도동),푸에르,37.5038792,126.9452802,0,0,0
서교동,서울특별시 마포구 월드컵북로7길 8 (서교동1층),빈스커피,37.5583777,126.9173075,0,0,0
중계동,서울특별시 노원구 노원로 330 롯데마트 지하1층 (중계동),차이 롯데중계점,37.6468244,127.0709359,0,0,0
자양동,서울특별시 광진구 뚝섬로52라길 7 1층 101호 (자양동 라임팰리스),라온아이디,37.5299169,127.0790855,0,0,0
개봉동,서울특별시 구로구 개봉로11길 35-9 (개봉동),핸드드립드로우,37.4875399,126.8542096,0,0,0
목동,서울특별시 양천구 목동중앙로 103-1 지층 (목동),커피하오,37.5383415,126.8728907,5,8,24
진관동,서울특별시 은평구 진관2로 57-7 252동 B101호 (진관동 은평뉴타운 우물골),커피에반하다 은평진관점,37.6354766,126.924494,0,0,0
상일동,서울특별시 강동구 동남로 892 1층 (상일동),엔제리너스커피 강동경희대병원,37.5534484,127.1573794,3.5,2,2
창동,서울특별시 도봉구 노해로63나길 8-6 1층 (창동),빵미제빵소,37.6542021,127.0448864,5,1,0
신정동,서울특별시 양천구 중앙로36길 30 지상1층 (신정동),스마일빈,37.5196574,126.8573541,5,1,0
구의동,서울특별시 광진구 자양로 116 1층 102103103-1105106107108호 (구의동 웰츠타워),투썸플레이스,37.5382209,127.0838827,2.5,12,5
공릉동,서울특별시 노원구 공릉로 98 (공릉동),레알이동통신,37.6191946,127.07846,0,0,0
이문동,서울특별시 동대문구 신이문로 19 1층 (이문동),이디야이문점,37.6031419,127.0642539,0,0,1
연남동,서울특별시 마포구 동교로29길 32 지상1층 (연남동),차고,37.5619309,126.9232802,0,0,6
마곡동,서울특별시 강서구 강서로 391 1층 111호 (마곡동 가양 1동 문영비지웍스),리퍼블릭오브커피,37.5605449,126.8384276,4,4,14
망우동,서울특별시 중랑구 용마산로118길 95 1층 (망우동),카페글로리,37.6013,127.1058976,0,0,1
종로1가,서울특별시 종로구 종로 1 지하1층 (종로1가),카페자우,37.5709477,126.9778787,0,0,2
화곡동,서울특별시 강서구 월정로30길 99 문성빌딩 1층 (화곡동),주택커피,37.5357875,126.841201,0,0,0
종로2가,서울특별시 종로구 삼일대로 396 다옴빌딩 1~4층 (종로2가),프롬하츠커피 종로점,37.5698697,126.9880136,4.1,7,2
연남동,서울특별시 마포구 성미산로32길 18 101호 (연남동 해오름),빅프라페,37.5636951,126.9240876,5,1,1
신정동,서울특별시 양천구 목동서로 277 (신정동 목동대림아크로텔 112호),정경,37.5224517,126.8694435,5,1,3
신림동,서울특별시 관악구 호암로22길 55 1층 (신림동),카페레브,37.4687653,126.9358815,4.3,6,2
신림동,서울특별시 관악구 신림로 322 (신림동),떼루와 신림점,37.4829836,126.9301156,1,1,1
성내동,서울특별시 강동구 양재대로87길 35 (성내동),마을버스,37.5257381,127.1331213,0,0,0
