지번주소,도로명주소,사업장명,위도,경도,kakao_blog_review,kakao_star,kakao_star_nums,kakao_keyword
성내동,서울특별시 강동구 양재대로 1313 (성내동지하1층),콜로세움,37.5236651,127.134358,2,1,1,성내동 콜로세움
성내동,서울특별시 강동구 양재대로 1335 (성내동),세븐PC방,37.5255838,127.1349179,0,1,2,성내동 세븐PC방
둔촌동,서울특별시 강동구 양재대로 1392 (둔촌동),크라우드PC,37.5302669,127.1376641,5,3,2,둔촌동 크라우드PC
길동,서울특별시 강동구 양재대로 1459 대진빌딩 201호 (길동),앤유 nu PC,37.536162,127.1390863,1,4.3,16,길동 앤유 nu PC
길동,서울특별시 강동구 양재대로 1464 (길동),리얼PC,37.5365062,127.1397964,0,1,1,길동 리얼PC
길동,서울특별시 강동구 양재대로 1481 길빙딩 지층 (길동),이츠PC방,37.5382754,127.139913,0,0,0,길동 이츠PC방
길동,서울특별시 강동구 양재대로 1481 지하1층 (길동),로마루PC방,37.5382754,127.139913,0,0,0,길동 로마루PC방
천호동,서울특별시 강동구 양재대로 1539 프라임 1층 102호 (천호동),대박PC,37.543152,127.1417612,0,0,0,천호동 대박PC
천호동,서울특별시 강동구 양재대로 1549 (천호동지층),엔탑 PC방,37.5440504,127.1420702,0,0,0,천호동 엔탑 PC방
천호동,서울특별시 강동구 양재대로 1579 지1층 (천호동),비원,37.5465634,127.1428417,0,3,2,천호동 비원
성내동,서울특별시 강동구 양재대로103길 19 (성내동),성내 PC방,37.5329339,127.1367293,0,0,0,성내동 성내 PC방
성내동,서울특별시 강동구 양재대로103길 24 1층 (성내동),해피PC,37.5332258,127.1366748,0,0,0,성내동 해피PC
길동,서울특별시 강동구 양재대로114길 38 2층 (길동),스위티,37.537321,127.1420592,0,0,0,길동 스위티
길동,서울특별시 강동구 양재대로116길 30 (길동),별,37.5381925,127.1420833,30,4.5,19,길동 별
길동,서울특별시 강동구 양재대로124길 48 1층 (길동),대박PC,37.5425197,127.144678,0,0,0,길동 대박PC
길동,서울특별시 강동구 양재대로124길 77 2층 (길동),패밀리PC존,37.542304,127.1464587,0,0,0,길동 패밀리PC존
명일동,서울특별시 강동구 양재대로128길 25  (명일동지층),쟈스민,37.5447751,127.1442464,0,0,0,명일동 쟈스민
성내동,서울특별시 강동구 양재대로87길 14 (성내동),수 PC방,37.525665,127.1343254,0,0,0,성내동 수 PC방
성내동,서울특별시 강동구 양재대로89길 17 지하1층 (성내동),힐러PC,37.5265578,127.1344002,0,2,2,성내동 힐러PC
천호동,서울특별시 강동구 올림픽로 667 대동피렌체리버 205호 (천호동),광진PC,37.5411298,127.1239881,0,0,0,천호동 광진PC
암사동,서울특별시 강동구 올림픽로 769 (암사동지층),스타 PC방,37.5499725,127.1271965,0,2.3,3,암사동 스타 PC방
암사동,서울특별시 강동구 올림픽로 796 2층 (암사동),COMON PC PLEX ,37.5520621,127.128548,0,0,0,암사동 COMON PC PLEX 
암사동,서울특별시 강동구 올림픽로98가길 72 1층 (암사동),놀 PC방,37.5515796,127.1334354,0,0,0,암사동 놀 PC방
암사동,서울특별시 강동구 올림픽로98길 21 (암사동),노리터PC방 암사점,37.5512819,127.1293433,0,0,0,암사동 노리터PC방 암사점
길동,서울특별시 강동구 진황도로 100 105호 (길동 하이브),길동 PC,37.5354176,127.1374013,0,0,0,길동 길동 PC
둔촌동,서울특별시 강동구 진황도로 156 2층 (둔촌동),WA PC방,37.5320941,127.1414752,0,0,0,둔촌동 WA PC방
천호동,서울특별시 강동구 진황도로27길 15 (천호동),아이템 벨리,37.5391866,127.13178,0,0,0,천호동 아이템 벨리
천호동,서울특별시 강동구 진황도로27길 9 1층 (천호동),N-TOP,37.538848,127.131604,0,0,0,천호동 N-TOP
길동,서울특별시 강동구 진황도로47길 74 (길동),스타캐슬 PC방,37.5377965,127.1409564,0,0,0,길동 스타캐슬 PC방
길동,서울특별시 강동구 천중로42길 69 1층 101호 (길동 다성이즈빌),대박PC,37.5379169,127.1387626,0,0,0,길동 대박PC
성내동,서울특별시 강동구 천호대로 1034 (성내동지하1층),스마트PC방,37.5372304,127.1267751,0,0,0,성내동 스마트PC방
성내동,서울특별시 강동구 천호대로 1132 106호 (성내동),성내PC,37.5340784,127.1369884,0,0,0,성내동 성내PC
둔촌동,서울특별시 강동구 천호대로 1178 알레소빌딩 3층 (둔촌동),에코스 PC방,37.5336791,127.1423414,0,0,0,둔촌동 에코스 PC방
둔촌동,서울특별시 강동구 천호대로 1196 (둔촌동),이네이처PC방,37.5343889,127.1442905,0,0,0,둔촌동 이네이처PC방
둔촌동,서울특별시 강동구 천호대로 1196 도성빌딩 지층 (둔촌동),라이또PC 둔촌점,37.5343889,127.1442905,0,0,0,둔촌동 라이또PC 둔촌점
천호동,서울특별시 강동구 천호대로157길 37 (천호동4층),게임이너스 천호점,37.5395995,127.1272827,0,3,9,천호동 게임이너스 천호점
성내동,서울특별시 강동구 천호대로162길 34 (성내동),스타캐슬 성내점,37.5355771,127.1279523,0,0,0,성내동 스타캐슬 성내점
성내동,서울특별시 강동구 천호대로170길 34 (성내동),아이비스 PC,37.5338784,127.13262,0,0,0,성내동 아이비스 PC
성내동,서울특별시 강동구 천호대로170길 53 1층 (성내동),대박 PC,37.5329878,127.1325132,0,0,0,성내동 대박 PC
성내동,서울특별시 강동구 천호대로176길 13 영재1빌딩 1층 101호 (성내동),스타PC,37.5337371,127.1363077,0,0,0,성내동 스타PC
길동,서울특별시 강동구 천호대로199길 10 204호 (길동 GS강동자이아파트상가),쟈스민,37.5371024,127.1480341,0,0,0,길동 쟈스민
