소재지전체주소,도로명전체주소,사업장명,위도,경도,업태구분명,kakao_star,kakao_star_nums,kakao_blog_review
대현동,"서울특별시 강동구 양재대로 1371, 둔촌빌딩 1층 10호 (성내동)",베나레스 이대점,37.5287128,127.1360654,"인도,태국",4,10,28
원효로1가,"서울특별시 강동구 명일로 244, 2층 201호 (길동)",초원양꼬치,37.5404151,127.147114,"인도,태국",3,2,2
용산동2가,서울특별시 강동구 상암로12길 9 (천호동),케이리,37.5492336,127.1286011,"인도,태국",0,0,0
문정동,"서울특별시 강동구 동남로71길 20-9, 파라빌딩 1층 2호 (명일동)",포텐,37.5523586,127.154816,"인도,태국",0,0,5
방학동,"서울특별시 강동구 성안로 170, 103동 101호 (길동, 에이치비골드빌)",마라하오도봉점,37.5380418,127.1360493,"인도,태국",5,1,0
익선동,"서울특별시 강동구 성안로 191, 지산빌딩 1층 103호 (천호동)",도모다찌,37.5401195,127.1364924,"인도,태국",2.2,16,73
회현동2가,"서울특별시 강동구 성안로3길 88, 1층 (성내동)",모아쏭,37.5275361,127.125207,"인도,태국",0,0,2
고척동,"서울특별시 강동구 아리수로93길 27, 208호 (강일동, 강일타워)",청년다방 동양미래대점,37.5656316,127.1738307,"인도,태국",2.3,6,2
자양동,서울특별시 강동구 상일로 23 (상일동),잇타이,37.5491965,127.1729009,"인도,태국",4,16,53
군자동,"서울특별시 강동구 상일로 74 (상일동,고덕리엔파크 3단지 2동 101호)",미스사이공 세종대점,37.5531625,127.1752949,"인도,태국",3.2,6,6
을지로2가,"서울특별시 강동구 성내로 7, 1층 (성내동)",에이스 포 클럽,37.5306349,127.121694,"인도,태국",3.9,16,28
종로6가,"서울특별시 강동구 암사길 27-1, 1층 (암사동)",포베이 동대문종합시장점,37.5518787,127.1324615,"인도,태국",5,1,5
체부동,"서울특별시 강동구 상암로 195, 에이플러스 1층 104호 (명일동)",오베르쥬,37.5466253,127.1441985,"인도,태국",4.4,10,10
한강로2가,"서울특별시 강동구 동남로75길 13-15 (명일동,성은빌딩2층)",라오삐약,37.5536302,127.1555201,"인도,태국",3.5,12,18
독산동,"서울특별시 강동구 성안로3길 120, 1층 (성내동)",바른쌀국수,37.5282242,127.1236352,"인도,태국",5,1,1
계동,서울특별시 강동구 상암로 183 (천호동),와인이지,37.5464477,127.1426681,"인도,태국",0,0,0
대현동,서울특별시 강동구 성안로3길 116 (성내동),홍호아 신촌점,37.5281508,127.1238092,"인도,태국",5,1,5
충무로3가,"서울특별시 강동구 성안로 182, 101호 (길동)",태국수,37.5389997,127.1367167,"인도,태국",4.6,10,22
